Country,Density (P/Km2),Agricultural Land( %),Land Area(Km2),Armed Forces size,Birth Rate,Co2-Emissions,CPI,Fertility Rate,Forested Area (%),GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Life expectancy,Population,Population: Labor force participation (%),Tax revenue (%),Unemployment rate,Urban_population,Latitude,Longitude
Cyprus,131,12.20%,"9,251","16,000",10.46,"6,626",102.51,1.33,18.70%,"$24,564,647,935 ",99.30%,75.90%,1.9,80.8,"1,198,575",63.10%,24.50%,7.27%,"800,708",35.126413,33.429859
Czech Republic,139,45.20%,"78,867","23,000",10.7,"102,218",116.48,1.69,34.60%,"$246,489,245,495 ",100.70%,64.10%,2.7,79.0,"10,669,709",60.60%,14.90%,1.93%,"7,887,156",49.817492,15.472962
Democratic Republic of the Congo,40,11.60%,"2,344,858","134,000",41.18,"2,021",133.85,5.92,67.20%,"$47,319,624,204 ",108.00%,6.60%,68.2,60.4,"86,790,567",63.50%,10.70%,4.24%,"39,095,679",-4.038333,21.758664
Denmark,137,62.00%,"43,094","15,000",10.6,"31,786",110.35,1.73,14.70%,"$348,078,018,464 ",101.30%,80.60%,3.6,81.0,"5,818,553",62.20%,32.40%,4.91%,"5,119,978",56.26392,9.501785
Djibouti,43,73.40%,"23,200","13,000",21.47,620,120.25,2.73,0.20%,"$3,318,716,359 ",75.30%,5.30%,49.8,66.6,"973,560",60.20%,,10.30%,"758,549",11.825138,42.590275
Dominica,96,33.30%,751,,12.0,180,103.87,1.9,57.40%,"$596,033,333 ",114.70%,7.20%,32.9,76.6,"71,808",,22.10%,,"50,830",15.414999,-61.370976
Dominican Republic,225,48.70%,"48,670","71,000",19.51,"25,258",135.5,2.35,41.70%,"$88,941,298,258 ",105.70%,59.90%,24.1,73.9,"10,738,958",64.30%,13.00%,5.84%,"8,787,475",18.735693,-70.162651
Ecuador,71,22.20%,"283,561","41,000",19.72,"41,155",124.14,2.43,50.20%,"$107,435,665,000 ",103.30%,44.90%,12.2,76.8,"17,373,662",68.00%,,3.97%,"11,116,711",-1.831239,-78.183406
Egypt,103,3.80%,"1,001,450","836,000",26.38,"238,560",288.57,3.33,0.10%,"$303,175,127,598 ",106.30%,35.20%,18.1,71.8,"100,388,073",46.40%,12.50%,10.76%,"42,895,824",26.820553,30.802498
El Salvador,313,76.40%,"21,041","42,000",18.25,"7,169",111.23,2.04,12.60%,"$27,022,640,000 ",94.80%,29.40%,11.8,73.1,"6,453,553",59.10%,18.10%,4.11%,"4,694,702",13.794185,-88.89653
Equatorial Guinea,50,10.10%,"28,051","1,000",33.24,"5,655",124.35,4.51,55.50%,"$11,026,774,945 ",61.80%,1.90%,62.6,58.4,"1,355,986",62.00%,6.10%,6.43%,"984,812",1.650801,10.267895
Eritrea,35,75.20%,"117,600","202,000",30.3,711,,4.06,14.90%,"$2,065,001,626 ",68.40%,3.40%,31.3,65.9,"6,333,135",78.40%,,5.14%,"1,149,670",15.179384,39.782334
Estonia,31,23.10%,"45,228","6,000",10.9,"16,590",122.14,1.59,51.30%,"$31,386,949,981 ",97.20%,69.60%,2.1,78.2,"1,331,824",63.60%,20.90%,5.11%,"916,024",58.595272,25.013607
Eswatini,67,,"17,364",,,,,,,"$3,791,304,348 ",,,,,"1,093,238",,28.60%,,,-26.522503,31.465866
Ethiopia,115,36.30%,"1,104,300","138,000",32.34,"14,870",143.86,4.25,12.50%,"$96,107,662,398 ",101.00%,8.10%,39.1,66.2,"112,078,730",79.60%,7.50%,2.08%,"23,788,710",9.145,40.489673
Fiji,49,23.30%,"18,274","4,000",21.28,"2,046",132.3,2.77,55.90%,"$5,535,548,972 ",106.40%,16.10%,21.6,67.3,"889,953",57.60%,24.20%,4.10%,"505,048",-17.713371,178.065032
Finland,18,7.50%,"338,145","25,000",8.6,"45,871",112.33,1.41,73.10%,"$268,761,201,365 ",100.20%,88.20%,1.4,81.7,"5,520,314",59.10%,20.80%,6.59%,"4,716,888",61.92411,25.748151
France,119,52.40%,"643,801","307,000",11.3,"303,276",110.05,1.88,31.20%,"$2,715,518,274,227 ",102.50%,65.60%,3.4,82.5,"67,059,887",55.10%,24.20%,8.43%,"54,123,364",46.227638,2.213749
Gabon,9,20.00%,"267,667","7,000",31.61,"5,321",122.19,3.97,90.00%,"$16,657,960,228 ",139.90%,8.30%,32.7,66.2,"2,172,579",52.90%,10.20%,20.00%,"1,949,694",-0.803689,11.609444
The Gambia,239,59.80%,"11,300","1,000",38.54,532,172.73,5.22,48.40%,"$1,763,819,048 ",98.00%,2.70%,39.0,61.7,"2,347,706",59.40%,9.40%,9.06%,"1,453,958",13.443182,-15.310139
Georgia,57,34.50%,"69,700","26,000",13.47,"10,128",133.61,2.06,40.60%,"$17,743,195,770 ",98.60%,63.90%,8.7,73.6,"3,720,382",68.30%,21.70%,14.40%,"2,196,476",42.315407,43.356892
Germany,240,47.70%,"357,022","180,000",9.5,"727,973",112.85,1.56,32.70%,"$3,845,630,030,824 ",104.00%,70.20%,3.1,80.9,"83,132,799",60.80%,11.50%,3.04%,"64,324,835",51.165691,10.451526
Ghana,137,69.00%,"238,533","16,000",29.41,"16,670",268.36,3.87,41.20%,"$66,983,634,224 ",104.80%,15.70%,34.9,63.8,"30,792,608",67.80%,12.60%,4.33%,"17,249,054",7.946527,-1.023194
Greece,81,47.60%,"131,957","146,000",8.1,"62,434",101.87,1.35,31.70%,"$209,852,761,469 ",99.60%,136.60%,3.6,81.3,"10,716,322",51.80%,26.20%,17.24%,"8,507,474",39.074208,21.824312
Grenada,331,23.50%,349,,16.47,268,107.43,2.06,50.00%,"$1,228,170,370 ",106.90%,104.60%,13.7,72.4,"112,003",,19.40%,,"40,765",12.1165,-61.679
Guatemala,167,36.00%,"108,889","43,000",24.56,"16,777",142.92,2.87,32.70%,"$76,710,385,880 ",101.90%,21.80%,22.1,74.1,"16,604,026",62.30%,10.60%,2.46%,"8,540,945",15.783471,-90.230759
Guinea,53,59.00%,"245,857","13,000",36.36,"2,996",262.95,4.7,25.80%,"$13,590,281,809 ",91.50%,11.60%,64.9,61.2,"12,771,246",61.50%,10.80%,4.30%,"4,661,505",9.945587,-9.696645
Guinea-Bissau,70,58.00%,"36,125","4,000",35.13,293,111.65,4.48,69.80%,"$1,340,389,411 ",118.70%,2.60%,54.0,58.0,"1,920,922",72.00%,10.30%,2.47%,"840,922",11.803749,-15.180413
Guyana,4,8.60%,"214,969","3,000",19.97,"2,384",116.19,2.46,83.90%,"$4,280,443,645 ",97.80%,11.60%,25.1,69.8,"782,766",56.20%,,11.85%,"208,912",4.860416,-58.93018
Haiti,414,66.80%,"27,750",0,24.35,"2,978",179.29,2.94,3.50%,"$8,498,981,821 ",113.60%,1.10%,49.5,63.7,"11,263,077",67.20%,,13.78%,"6,328,948",18.971187,-72.285215
Vatican City,"2,003",,0,,,,,,,,,,,,836,,,,,41.902916,12.453389
Honduras,89,28.90%,"112,090","23,000",21.6,"9,813",150.34,2.46,40.00%,"$25,095,395,475 ",91.50%,26.20%,15.1,75.1,"9,746,117",68.80%,17.30%,5.39%,"5,626,433",15.199999,-86.241905
Hungary,107,58.40%,"93,028","40,000",9.6,"45,537",121.64,1.54,22.90%,"$160,967,157,504 ",100.80%,48.50%,3.6,75.8,"9,769,949",56.50%,23.00%,3.40%,"6,999,582",47.162494,19.503304
Iceland,3,18.70%,"103,000",0,12.0,"2,065",129,1.71,0.50%,"$24,188,035,739 ",100.40%,71.80%,1.5,82.7,"361,313",75.00%,23.30%,2.84%,"339,110",64.963051,-19.020835
India,464,60.40%,"3,287,263","3,031,000",17.86,"2,407,672",180.44,2.22,23.80%,"$2,611,000,000,000 ",113.00%,28.10%,29.9,69.4,"1,366,417,754",49.30%,11.20%,5.36%,"471,031,528",20.593684,78.96288
Indonesia,151,31.50%,"1,904,569","676,000",18.07,"563,325",151.18,2.31,49.90%,"$1,119,190,780,753 ",106.40%,36.30%,21.1,71.5,"270,203,917",67.50%,10.20%,4.69%,"151,509,724",-0.789275,113.921327
Iran,52,28.20%,"1,648,195","563,000",18.78,"661,710",550.93,2.14,6.60%,"$445,345,282,123 ",110.70%,68.10%,12.4,76.5,"82,913,906",44.70%,7.40%,11.38%,"62,509,623",32.427908,53.688046
Iraq,93,21.40%,"438,317","209,000",29.08,"190,061",119.86,3.67,1.90%,"$234,094,042,939 ",108.70%,16.20%,22.5,70.5,"39,309,783",43.00%,2.00%,12.82%,"27,783,368",33.223191,43.679291
Republic of Ireland,72,64.50%,"70,273","9,000",12.5,"37,711",106.58,1.75,11.00%,"$388,698,711,348 ",100.90%,77.80%,3.1,82.3,"5,007,069",62.10%,18.30%,4.93%,"3,133,123",53.41291,-8.24389
Israel,400,24.60%,"20,770","178,000",20.8,"65,166",108.15,3.09,7.70%,"$395,098,666,122 ",104.90%,63.40%,3.0,82.8,"9,053,300",64.00%,23.10%,3.86%,"8,374,393",31.046051,34.851612
Italy,206,43.20%,"301,340","347,000",7.3,"320,411",110.62,1.29,31.80%,"$2,001,244,392,042 ",101.90%,61.90%,2.6,82.9,"60,297,396",49.60%,24.30%,9.89%,"42,651,966",41.87194,12.56738
Jamaica,273,41.00%,"10,991","4,000",16.1,"8,225",162.47,1.98,30.90%,"$16,458,071,068 ",91.00%,27.10%,12.4,74.4,"2,948,279",66.00%,26.80%,8.00%,"1,650,594",18.109581,-77.297508
Japan,347,12.30%,"377,944","261,000",7.4,"1,135,886",105.48,1.42,68.50%,"$5,081,769,542,380 ",98.80%,63.20%,1.8,84.2,"126,226,568",61.70%,11.90%,2.29%,"115,782,416",36.204824,138.252924
Jordan,115,12.00%,"89,342","116,000",21.98,"25,108",125.6,2.76,1.10%,"$43,743,661,972 ",81.50%,34.40%,13.9,74.4,"10,101,694",39.30%,15.10%,14.72%,"9,213,048",30.585164,36.238414
Kazakhstan,7,80.40%,"2,724,900","71,000",21.77,"247,207",182.75,2.84,1.20%,"$180,161,741,180 ",104.40%,61.70%,8.8,73.2,"18,513,930",68.80%,11.70%,4.59%,"10,652,915",48.019573,66.923684
Kenya,94,48.50%,"580,367","29,000",28.75,"17,910",180.51,3.49,7.80%,"$95,503,088,538 ",103.20%,11.50%,30.6,66.3,"52,573,973",74.70%,15.10%,2.64%,"14,461,523",-0.023559,37.906193
Kiribati,147,42.00%,811,,27.89,66,99.55,3.57,15.00%,"$194,647,202 ",101.30%,,41.2,68.1,"117,606",,22.00%,,"64,489",1.8368976,-157.3768317
Kuwait,240,8.40%,"17,818","25,000",13.94,"98,734",126.6,2.08,0.40%,"$134,761,198,946 ",92.40%,54.40%,6.7,75.4,"4,207,083",73.50%,1.40%,2.18%,"4,207,083",29.31166,47.481766
Kyrgyzstan,34,55.00%,"199,951","21,000",27.1,"9,787",155.68,3.3,3.30%,"$8,454,619,608 ",107.60%,41.30%,16.9,71.4,"6,456,900",59.80%,18.00%,6.33%,"2,362,644",41.20438,74.766098
Laos,32,10.30%,"236,800","129,000",23.55,"17,763",135.87,2.67,82.10%,"$18,173,839,128 ",102.40%,15.00%,37.6,67.6,"7,169,455",78.50%,12.90%,0.63%,"2,555,552",19.85627,102.495496
Latvia,30,31.10%,"64,589","6,000",10.0,"7,004",116.86,1.6,54.00%,"$34,117,202,555 ",99.40%,88.10%,3.3,74.7,"1,912,789",61.40%,22.90%,6.52%,"1,304,943",56.879635,24.603189
Lebanon,667,64.30%,"10,400","80,000",17.55,"24,796",130.02,2.09,13.40%,"$53,367,042,272 ",95.10%,26.30%,6.4,78.9,"6,855,713",47.00%,15.30%,6.23%,"6,084,994",33.854721,35.862285
Lesotho,71,77.60%,"30,355","2,000",26.81,"2,512",155.86,3.14,1.60%,"$2,460,072,444 ",120.90%,10.20%,65.7,53.7,"2,125,268",67.90%,31.60%,23.41%,"607,508",-29.609988,28.233608
Liberia,53,28.00%,"111,369","2,000",33.04,"1,386",223.13,4.32,43.10%,"$3,070,518,100 ",85.10%,11.90%,53.5,63.7,"4,937,374",76.30%,12.90%,2.81%,"2,548,426",6.428055,-9.429499
Libya,4,8.70%,"1,759,540",0,18.83,"50,564",125.71,2.24,0.10%,"$52,076,250,948 ",109.00%,60.50%,10.2,72.7,"6,777,452",49.70%,,18.56%,"5,448,597",26.3351,17.228331
Liechtenstein,238,32.20%,160,,9.9,51,,1.44,43.10%,"$6,552,858,739 ",104.70%,35.60%,,83.0,"38,019",,,,"5,464",47.1410392,9.520935
Lithuania,43,47.20%,"65,300","34,000",10.0,"12,963",118.38,1.63,34.80%,"$54,219,315,600 ",103.90%,72.40%,3.3,75.7,"2,786,844",61.60%,16.90%,6.35%,"1,891,013",55.169438,23.881275
Luxembourg,242,53.70%,"2,586","2,000",10.3,"8,988",115.09,1.37,35.70%,"$71,104,919,108 ",102.30%,19.20%,1.9,82.1,"645,397",59.30%,26.50%,5.36%,"565,488",49.815273,6.129583
Madagascar,48,71.20%,"587,041","22,000",32.66,"3,905",184.33,4.08,21.40%,"$14,083,906,357 ",142.50%,5.40%,38.2,66.7,"26,969,307",86.10%,10.20%,1.76%,"10,210,849",-18.766947,46.869107
Malawi,203,61.40%,"118,484","15,000",34.12,"1,298",418.34,4.21,33.20%,"$7,666,704,427 ",142.50%,0.80%,35.3,63.8,"18,628,747",76.70%,17.30%,5.65%,"3,199,301",-13.254308,34.301525
Malaysia,99,26.30%,"329,847","136,000",16.75,"248,289",121.46,2.0,67.60%,"$364,701,517,788 ",105.30%,45.10%,6.7,76.0,"32,447,385",64.30%,12.00%,3.32%,"24,475,766",4.210484,101.975766
Maldives,"1,802",26.30%,298,"5,000",14.2,"1,445",99.7,1.87,3.30%,"$5,729,248,472 ",97.10%,31.20%,7.4,78.6,"530,953",69.80%,19.50%,6.14%,"213,645",3.202778,73.22068
Mali,17,33.80%,"1,240,192","18,000",41.54,"3,179",108.73,5.88,3.80%,"$17,510,141,171 ",75.60%,4.50%,62.0,58.9,"19,658,031",70.80%,11.60%,7.22%,"8,479,688",17.570692,-3.996166
Malta,"1,380",32.40%,316,"2,000",9.2,"1,342",113.45,1.23,1.10%,"$14,786,156,563 ",105.00%,54.30%,6.1,82.3,"502,653",56.50%,26.20%,3.47%,"475,902",35.937496,14.375416
Marshall Islands,329,63.90%,181,,29.03,143,,4.05,70.20%,"$221,278,000 ",84.70%,23.70%,27.4,65.2,"58,791",,17.80%,,"45,514",7.131474,171.184478
Mauritania,5,38.50%,"1,030,700","21,000",33.69,"2,739",135.02,4.56,0.20%,"$7,593,752,450 ",99.90%,5.00%,51.5,64.7,"4,525,696",45.90%,,9.55%,"2,466,821",21.00789,-10.940835
Mauritius,626,42.40%,"2,040","3,000",10.2,"4,349",129.91,1.41,19.00%,"$14,180,444,557 ",101.10%,40.60%,13.6,74.4,"1,265,711",58.30%,19.10%,6.67%,"515,980",-20.348404,57.552152
Mexico,66,54.60%,"1,964,375","336,000",17.6,"486,406",141.54,2.13,33.90%,"$1,258,286,717,125 ",105.80%,40.20%,11.0,75.0,"126,014,024",60.70%,13.10%,3.42%,"102,626,859",23.634501,-102.552784
Federated States of Micronesia,784,31.40%,702,,22.82,143,112.1,3.05,91.90%,"$401,932,279 ",97.20%,14.10%,25.6,67.8,"113,815",,25.20%,,"25,963",7.425554,150.550812
Moldova,123,74.20%,"33,851","7,000",10.1,"5,115",166.2,1.26,12.60%,"$11,955,435,457 ",90.60%,39.80%,13.6,71.8,"2,657,637",43.10%,17.70%,5.47%,"1,135,502",47.411631,28.369885
Monaco,"26,337",,2,,5.9,,,,,"$7,184,844,193 ",,,2.6,,"38,964",,,,"38,964",43.7384176,7.4246158
Mongolia,2,71.50%,"1,564,116","18,000",24.13,"25,368",195.76,2.9,8.00%,"$13,852,850,259 ",104.00%,65.60%,14.0,69.7,"3,225,167",59.70%,16.80%,6.01%,"2,210,626",46.862496,103.846656
Montenegro,47,19.00%,"13,812","12,000",11.73,"2,017",116.32,1.75,61.50%,"$5,494,736,901 ",100.00%,56.10%,2.3,76.8,"622,137",54.40%,,14.88%,"417,765",42.708678,19.37439
Morocco,83,68.50%,"446,550","246,000",18.94,"61,276",111.07,2.42,12.60%,"$118,725,279,596 ",113.90%,35.90%,19.2,76.5,"36,910,560",45.30%,21.90%,9.02%,"22,975,026",31.791702,-7.09262
Mozambique,40,63.50%,"799,380","11,000",37.52,"7,943",182.31,4.85,48.00%,"$14,934,159,926 ",112.60%,7.30%,54.0,60.2,"30,366,036",78.10%,0.00%,3.24%,"11,092,106",-18.665695,35.529562
Myanmar,83,19.50%,"676,578","513,000",17.55,"25,280",168.18,2.15,43.60%,"$76,085,852,617 ",112.30%,18.80%,36.8,66.9,"54,045,420",61.70%,5.40%,1.58%,"16,674,093",21.916221,95.955974
Namibia,3,47.10%,"824,292","16,000",28.64,"4,228",157.97,3.4,8.30%,"$12,366,527,719 ",124.20%,22.90%,29.0,63.4,"2,494,530",59.50%,27.10%,20.27%,"1,273,258",-22.95764,18.49041
Nauru,541,,21,,,,,,,"$133,000,000 ",,,,,"10,084",,,,,-0.522778,166.931503
Nepal,203,28.70%,"147,181","112,000",19.89,"9,105",188.73,1.92,25.40%,"$30,641,380,604 ",142.10%,12.40%,26.7,70.5,"28,608,710",83.80%,20.70%,1.41%,"5,765,513",28.394857,84.124008
Netherlands,508,53.30%,"41,543","41,000",9.7,"170,780",115.91,1.59,11.20%,"$909,070,395,161 ",104.20%,85.00%,3.3,81.8,"17,332,850",63.60%,23.00%,3.20%,"15,924,729",52.132633,5.291266
New Zealand,18,40.50%,"268,838","9,000",11.98,"34,382",114.24,1.71,38.60%,"$206,928,765,544 ",100.00%,82.00%,4.7,81.9,"4,841,000",69.90%,29.00%,4.07%,"4,258,860",-40.900557,174.885971
Nicaragua,55,42.10%,"130,370","12,000",20.64,"5,592",162.74,2.4,25.90%,"$12,520,915,291 ",120.60%,17.40%,15.7,74.3,"6,545,502",66.40%,15.60%,6.84%,"3,846,137",12.865416,-85.207229
