Country,Annual-Nominal (US$),Annual-PPP (Int$),Workweek  (hours),Hourly-Nominal (US$),Hourly-PPP (Int$),Percent of  GDP per capita,Effective per
Marshall Islands,4160,3902,40.0,2.0,1.88,97%,6 March 1986
Mauritania,1006,295,40.0,0.48,0.14,7.70%,2011
Mauritius,3069,5438,45.0,1.31,2.32,25.80%,2019
Mexico,2725,5102,48.0,1.09,2.04,29.50%,2021
Moldova,1800,4854,40.0,0.87,2.33,91%,1 May 2019
Monaco,24092,,39.0,11.88,,17%,1 January 2019
Mongolia,2066,6068,40.0,0.99,2.92,49.50%,1 January 2020
Montenegro,2602,5386,40.0,1.25,2.59,30.50%,1 May 2013
Morocco,3709,8556,44.0,1.62,3.74,108.90%,1 July 2015
Mozambique,567,1818,40.0,0.27,0.87,149.40%,1 May 2014
Myanmar,757,3011,44.0,0.33,1.32,52.60%,1 September 2015
Namibia,,,45.0,,,,2014
Nauru,,,40.0,,,,2014
Nepal,1544,4405,48.0,0.62,1.76,177.80%,July 2018
Netherlands,22876,21786,40.0,11.0,10.47,43.10%,1 July 2020
New Zealand,27881,23971,40.0,13.4,11.52,62.20%,1 April 2020
Nicaragua,1273,3397,48.0,0.51,1.36,61.30%,1 September 2015
Niger,619,1633,40.0,0.3,0.78,165.50%,17 August 2012
Nigeria,1179,2911,40.0,0.57,1.4,49.70%,18 November 2019
Northern Cyprus,9012,,40.0,,,,1 March 2018
Norway,,,37.5,,,,2014
Oman,10263,19500,45.0,4.39,8.33,42.50%,1 July 2013
Pakistan,1724,6546,48.0,0.69,2.62,125%,1 June 2016
Palau,6240,6638,40.0,3.0,3.19,40.70%,1 October 2014
Palestine,4833,,45.0,2.07,,,2014
Panama,3819,6473,48.0,1.53,2.59,28.10%,1 January 2018
Papua New Guinea,2295,2795,44.0,1.0,1.22,66.80%,1 August 2014
Paraguay,4512,9758,48.0,1.81,3.91,102%,1 July 2018
Peru,3423,6414,48.0,1.37,2.57,49.30%,1 June 2018
Philippines,2770,6912,40.0,1.33,3.32,88.60%,16 March 2019
Poland,8254,16596,40.0,3.97,7.98,60.60%,1 January 2020
Portugal,9910,12353,40.0,4.76,5.94,40.30%,1 January 2020
Qatar,,,48.0,,,,2020
Romania,6163,13206,40.0,2.96,6.35,57.40%,1 January 2020
Russia,2495,5850,40.0,1.2,2.81,23.60%,1 May 2018
Rwanda,,,45.0,,,,2013
Saint Kitts and Nevis,6933,9087,40.0,3.33,4.37,34.40%,1 November 2014
Saint Lucia,,,40.0,,,,2013
Saint Vincent and the Grenadines,2407,3351,40.0,1.16,1.61,29.20%,1 July 2008
Samoa,1644,2237,40.0,0.79,1.08,35.10%,2012
San Marino,20245,23400,37.5,10.38,12.0,38.40%,1 January 2017
São Tomé and Príncipe,,,,,,,2013
Saudi Arabia,9600,18557,48.0,3.85,7.43,34.10%,2 February 2013
Senegal,654,1617,40.0,0.31,0.78,63%,1 January 1996
Serbia,3330,7291,40.0,1.6,3.51,50.20%,1 January 2020
Seychelles,4069,6435,40.0,1.96,3.09,22.70%,1 January 2014
Sierra Leone,1181,2602,40.0,0.57,1.25,176.20%,1 January 2015
Singapore,,,44.0,,,,2019
Slovakia,8687,13388,40.0,4.18,6.44,44%,1 January 2021
Slovenia,12553,15880,40.0,6.03,7.63,48.50%,1 January 2019
Solomon Islands,949,955,45.0,0.41,0.41,42.70%,1 May 2008
Somalia,,,48.0,,,,2013
South Africa,3511,8897,45.0,1.5,3.8,67.40%,1 January 2019
South Sudan,,,,,,,2011
Spain,15687,17968,40.0,7.54,8.64,49.50%,1 January 2020
Sri Lanka,787,2414,45.0,0.34,1.03,19.60%,1 January 2016
Sudan,5389,7676,40.0,2.59,3.69,162.30%,2020
Suriname,,,45.0,,,,2013
Sweden,,,40.0,,,,2017
Switzerland,34284,,41.7,,,,2014
Syria,96,2850,40.0,0.4,1.37,54%,2013
Taiwan,9702,22359,40.0,5.26,12.12,39.10%,1 January 2020
Tajikistan,351,1288,40.0,0.17,0.62,43.20%,1 September 2013
Tanzania,215,593,45.0,0.09,0.25,21.30%,1 July 2013
Thailand,3034,8031,48.0,1.22,3.22,47.50%,1 January 2020
Timor-Leste,1380,2123,44.0,0.6,0.93,99.20%,22 June 2012
Togo,722,1796,40.0,0.35,0.86,120.50%,1 January 2012
Tonga,,,40.0,,,,2013
Trinidad and Tobago,4602,5503,40.0,2.21,2.65,16.70%,1 January 2015
Tunisia,1031,3007,48.0,0.41,1.2,25.90%,2011
Turkey,9676,22073,45.0,4.13,9.43,87.40%,1 January 2020
Turkmenistan,1834,4842,40.0,0.88,2.33,28.70%,1 January 2015
Tuvalu,,,,,,,2013
Uganda,432,1298,40.0,0.21,0.62,71.30%,1 July 2017
Ukraine,2131,9590,40.0,1.02,4.61,116%,1 January 2020
United Arab Emirates,,,48.0,,,,2013
United Kingdom,23253,22672,40.0,11.18,10.9,53.20%,1 April 2020
United States,15080,15080,40.0,7.25,7.25,26.20%,24 July 2009
Uruguay,7502,9183,48.0,3.01,3.68,42.50%,2021
Uzbekistan,2969,7954,40.0,1.43,3.82,122.10%,1 September 2019
Vanuatu,3331,3041,40.0,1.6,1.46,98.70%,20 August 2012
Venezuela,1032,,,,,,1 May 2020
Vietnam,1526,3676,40.0,0.73,1.77,58.40%,1 January 2018
Yemen,,,48.0,,,,2013
Zambia,1252,3180,48.0,0.5,1.27,80.80%,10 September 2018
Zimbabwe,,,,,,,2012
